ALogP,nHBAcc,LipinskiFailures,Label
-1.5190999999999997,5.0,0.0,0
0.622700000000001,4.0,1.0,0
2.4774000000000003,2.0,0.0,0
0.8004,3.0,0.0,0
1.9442999999999988,2.0,0.0,0
0.6009,4.0,0.0,0
-3.814400000000002,0.0,2.0,0
0.3013000000000003,3.0,1.0,0
2.387000000000001,2.0,0.0,0
0.9732000000000008,2.0,0.0,0
2.8753,4.0,0.0,0
0.0067999999999992,4.0,0.0,0
1.026600000000001,5.0,0.0,0
-0.5038999999999993,4.0,0.0,0
0.8792999999999994,6.0,0.0,0
0.9669,4.0,0.0,0
-0.5745,2.0,0.0,0
3.167300000000001,4.0,0.0,0
-1.9446,5.0,0.0,0
1.2458,3.0,0.0,0
2.0334000000000003,4.0,0.0,0
2.410799999999999,4.0,0.0,0
2.1432,4.0,0.0,0
0.5279000000000001,2.0,0.0,0
1.0368,4.0,1.0,0
1.4266,3.0,0.0,0
4.1335000000000015,4.0,1.0,0
1.9122,3.0,0.0,0
0.2435999999999998,4.0,0.0,0
0.8450999999999995,5.0,0.0,0
-0.0939000000000001,2.0,1.0,0
1.2483999999999995,5.0,0.0,0
2.0776000000000003,4.0,1.0,0
-0.3090999999999999,8.0,0.0,0
0.9398999999999996,2.0,0.0,0
0.5893999999999996,4.0,1.0,0
1.3907,4.0,0.0,0
0.5496999999999993,5.0,0.0,0
0.9911,0.0,0.0,0
0.8637000000000004,0.0,0.0,0
0.3766999999999996,2.0,0.0,0
0.5919000000000001,4.0,0.0,0
0.3348000000000031,6.0,0.0,0
-0.5415000000000002,3.0,0.0,0
-4.5528,10.0,0.0,0
0.4990999999999995,4.0,0.0,0
-3.2209999999999974,2.0,2.0,0
-0.4399999999999992,8.0,0.0,0
2.6562,4.0,0.0,0
1.6792000000000005,5.0,1.0,0
0.2570000000000002,5.0,0.0,0
0.1526999999999974,1.0,0.0,0
1.2488,3.0,0.0,0
-0.5276,2.0,0.0,0
0.3446999999999993,6.0,0.0,0
0.3654000000000005,3.0,0.0,0
-0.4603,0.0,1.0,0
1.1879000000000006,1.0,1.0,0
0.7906000000000001,2.0,0.0,0
0.898800000000001,2.0,0.0,0
0.1655999999999999,1.0,1.0,0
0.8913000000000014,2.0,0.0,0
0.7848000000000004,4.0,0.0,0
-0.3695000000000001,0.0,0.0,0
1.6372,2.0,0.0,0
2.4651,0.0,0.0,0
1.7207999999999997,0.0,0.0,0
1.7207999999999997,0.0,0.0,0
0.9764999999999996,0.0,0.0,0
-0.7988000000000003,7.0,0.0,0
1.1215000000000006,4.0,0.0,0
1.7332,2.0,0.0,0
-0.3226000000000002,4.0,0.0,0
0.5906,1.0,0.0,0
0.6946000000000006,3.0,1.0,0
2.1659000000000006,2.0,0.0,0
-0.4263,2.0,0.0,0
1.6172,0.0,0.0,0
-0.5895000000000004,1.0,0.0,0
-0.4991000000000004,2.0,0.0,0
1.2844,0.0,0.0,0
1.6514,0.0,0.0,0
1.688,0.0,0.0,0
0.5732999999999988,1.0,0.0,0
1.3163999999999996,2.0,0.0,0
